OverallQual,GrLivArea,GarageCars,ExterQual,GarageArea,BsmtQual,TotalBsmtSF,1stFlrSF,KitchenQual,FullBath,SalePrice
7.0,1710.0,2.0,2,548.0,2,856.0,856.0,2,2.0,208500.0
6.0,1262.0,2.0,3,460.0,2,1262.0,1262.0,3,2.0,181500.0
7.0,1786.0,2.0,2,608.0,2,920.0,920.0,2,2.0,223500.0
7.0,1717.0,3.0,3,642.0,3,756.0,961.0,2,1.0,140000.0
8.0,2198.0,3.0,2,836.0,2,1145.0,1145.0,2,2.0,250000.0
5.0,1362.0,2.0,3,480.0,2,796.0,796.0,3,1.0,143000.0
8.0,1694.0,2.0,2,636.0,0,1686.0,1694.0,2,2.0,307000.0
7.0,2090.0,2.0,3,484.0,2,1107.0,1107.0,3,2.0,200000.0
7.0,1774.0,2.0,3,468.0,3,952.0,1022.0,3,2.0,129900.0
5.0,1077.0,1.0,3,205.0,3,991.0,1077.0,3,1.0,118000.0
5.0,1040.0,1.0,3,384.0,3,1040.0,1040.0,3,1.0,129500.0
9.0,2324.0,3.0,0,736.0,0,1175.0,1182.0,0,3.0,345000.0
5.0,912.0,1.0,3,352.0,3,912.0,912.0,3,1.0,144000.0
7.0,1494.0,3.0,2,840.0,2,1494.0,1494.0,2,2.0,279500.0
6.0,1253.0,1.0,3,352.0,3,1253.0,1253.0,3,1.0,157000.0
7.0,854.0,2.0,3,576.0,3,832.0,854.0,3,1.0,132000.0
6.0,1004.0,2.0,3,480.0,3,1004.0,1004.0,3,1.0,149000.0
4.0,1296.0,2.0,3,516.0,3,0.0,1296.0,3,2.0,90000.0
5.0,1114.0,2.0,3,576.0,3,1114.0,1114.0,2,1.0,159000.0
5.0,1339.0,1.0,3,294.0,3,1029.0,1339.0,3,1.0,139000.0
8.0,2376.0,3.0,2,853.0,0,1158.0,1158.0,2,3.0,325300.0
7.0,1108.0,1.0,3,280.0,3,637.0,1108.0,2,1.0,139400.0
8.0,1795.0,2.0,2,534.0,2,1777.0,1795.0,2,2.0,230000.0
5.0,1060.0,2.0,3,572.0,2,1040.0,1060.0,3,1.0,129900.0
5.0,1060.0,1.0,3,270.0,3,1060.0,1060.0,2,1.0,154000.0
8.0,1600.0,3.0,2,890.0,2,1566.0,1600.0,2,2.0,256300.0
5.0,900.0,2.0,3,576.0,3,900.0,900.0,2,1.0,134800.0
8.0,1704.0,3.0,2,772.0,0,1704.0,1704.0,2,2.0,306000.0
5.0,1600.0,1.0,3,319.0,3,1484.0,1600.0,3,1.0,207500.0
4.0,520.0,1.0,3,240.0,3,520.0,520.0,1,1.0,68500.0
4.0,1317.0,1.0,3,250.0,3,649.0,649.0,3,1.0,40000.0
5.0,1228.0,1.0,3,271.0,3,1228.0,1228.0,2,1.0,149350.0
8.0,1234.0,2.0,2,484.0,0,1234.0,1234.0,2,2.0,179900.0
5.0,1700.0,2.0,3,447.0,3,1398.0,1700.0,2,1.0,165500.0
9.0,1561.0,2.0,0,556.0,0,1561.0,1561.0,0,2.0,277500.0
8.0,2452.0,3.0,2,691.0,0,1117.0,1132.0,2,3.0,309000.0
5.0,1097.0,2.0,3,672.0,2,1097.0,1097.0,3,1.0,145000.0
5.0,1297.0,2.0,3,498.0,3,1297.0,1297.0,3,1.0,153000.0
5.0,1057.0,1.0,3,246.0,3,1057.0,1057.0,2,1.0,109000.0
4.0,1152.0,0.0,3,0.0,3,0.0,1152.0,1,2.0,82000.0
6.0,1324.0,2.0,3,440.0,3,1088.0,1324.0,3,2.0,160000.0
5.0,1328.0,1.0,3,308.0,3,1350.0,1328.0,3,1.0,170000.0
5.0,884.0,2.0,3,504.0,2,840.0,884.0,2,1.0,144000.0
5.0,938.0,1.0,3,308.0,2,938.0,938.0,3,1.0,130250.0
5.0,1150.0,1.0,3,300.0,3,1150.0,1150.0,3,1.0,141000.0
9.0,1752.0,2.0,0,576.0,0,1752.0,1752.0,0,2.0,319900.0
7.0,2149.0,2.0,2,670.0,0,1434.0,1518.0,2,1.0,239686.0
8.0,1656.0,3.0,2,826.0,2,1656.0,1656.0,2,2.0,249700.0
4.0,1452.0,0.0,3,0.0,3,736.0,736.0,3,2.0,113000.0
5.0,955.0,1.0,3,386.0,3,955.0,955.0,3,1.0,127000.0
6.0,1470.0,2.0,3,388.0,2,794.0,794.0,3,2.0,177000.0
6.0,1176.0,2.0,3,528.0,3,816.0,816.0,3,1.0,114500.0
5.0,816.0,2.0,1,516.0,2,816.0,816.0,3,1.0,110000.0
9.0,1842.0,3.0,2,894.0,0,1842.0,1842.0,2,0.0,385000.0
5.0,1360.0,2.0,3,572.0,3,384.0,1360.0,3,1.0,130000.0
